country,region,level1,level2
Martinique,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Mauritania,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49)
Mauritius,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Mayotte,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Mexico,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49)
Micronesia (Federated States of),Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
Monaco,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49)
Montenegro,Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49)
Montserrat,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Morocco,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49)
Mozambique,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
Myanmar,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Namibia,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Southern Africa (M49)
Nauru,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
Netherlands,Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49)
